BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-172740,Ville de Pavillons sous Bois,None,M. Le maire,,,Place Charles de Gaulle,93320,Les Pavillons-sous-Bois,,01-48-02-75-86,,,juridique.psb@gmail.com,,http://www.klekoon.com,,,,,False,False,,False,False
15-172741,CCI Paris Ile-de-France,None," Direction des achats, Service suivi des procédures achats",,,92 bis rue Cardinet,75017,Paris,,01-55-65-78-32,,01-55-65-78-87,,http://www.cci-paris-idf.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-172742,EPD Clairvivre,None," Le Directeur de l'Etablissement Public,",,,Etablissement Public Départemental ESAT Bertran de Born Cité de Clairvivre,24160,SALAGNAC,,05-53-62-23-71,,08-05-63-90-61,esat@epd-clairvivre.com,http://www.la-cite-clairvivre.com,,,,,,False,False,,False,False
15-172744,EPLEFPA de l'Oise,None,M. MOUBILE Aziz,,,Lycée agricole de l'Oise,60600,Airion,,(+33) 3-44-50-84-40,,(+33) 3-44-50-84-41,aziz.moubile@educagri.fr,http://www.lyceeagricoledeloise.com/,,,http://www.marches-publics.gouv.fr,,,False,False,,False,False
15-155420,Carmi - Est,None, Marchés Service,,,21 av Foch - BP60570,57018,Metz,,,,,,,,,,,,False,False,,False,False
15-172748,SDIS de la Haute-Savoie,None,M. MONTEIL Christian,,,6 rue du nantBP 1010,74966,Meythet cedex,,04-50-22-76-00,,04-50-22-76-35,marches.publics@sdis74.fr,,,,,,,False,False,,False,False
15-172749,Commune de l'Etang-Salé,None,Monsieur le maire,,,B.P 903Avenue Raymond Barre,97427,L'Etang-salé,RE,(+33) 2-62-33-43-33,,(+33) 2-62-33-43-69,,,,,,,,False,False,,False,False
15-172750,SEA des 3 Cantons,None,"Monsieur Philippe FAURE, Président",,,40 rue Marcel Dassault - BP 38,64170,Artix,,,,,,,,,,,,False,False,,False,False
15-172751,Conseil départemental du Pas-de-Calais,None, M. le Président du Conseil départemental,,,Département du Pas-de-Calais Hôtel du Département Rue Ferdinand Buisson,62018,ARRAS CEDEX 9,,03-21-21-67-30,,03-21-21-62-38,,https://marches.local-trust.com/cg-62,,,,,,False,False,,False,False
15-172752,Mairie de Vigneux de Bretagne,None, M. Le maire,,,9 rue gh de la villemarqué,44360,Vigneux de bretagne,,02-40-57-39-57,,02-40-57-39-57,y.guegueniat@vigneuxdebretagne.fr,http://www.e-marchespublics.com,,,,,,False,False,,False,False
15-172754,Ville de Malemort sur Corrèze,None,Services des Finances,,,"14,16 avenue Jean Jaurès CS 30055",19361,Malemort sur Corrèze cedex,,05-55-92-16-88,,,mairie@malemort.org,http://www.malemortsurcorreze.fr,,,,,,False,False,,False,False
15-172755,SEMIB,None,M.le Directeur de la SEMIB,,,"CS 20045 - Parc de Chavailles 5, rue Christian Franceries",33522,Bruges Cedex,,(+33) 5-57-19-15-80,,(+33) 5-57-19-15-81,,,,,,,,False,False,,False,False
