BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-39416,Ecole Nationale Formation Agronomique,None,"Mme monteux edwige, ENFA",,,2 route de narbonne,31320,Auzeville tolosane,,,,,,,,,,,,False,False,,False,False
15-39417,Conseil Général de l'Aude,None, Monsieur le Président du Conseil Général de l'Aude,,,Conseil Général de l'Aude Allée Raymond Courrière,11855,CARCASSONNE Cedex 9,,04-68-11-68-11,,04-68-11-68-93,,http://marchespublics.aude.fr,,,,,,False,False,,False,False
15-39418,Conseil Général de l'Ain,None,M. Le président,,,Direction des Batiments 45 avenue Alsace Lorraine CS 10114,1003,Bourg En Bresse Cedex,,,,,,,,,,,,False,False,,False,False
15-39419,CCIACS,None,Monsieur Jean François ANTONETTI,,,Hôtel Consulaire Quai l'Herminier - CS 30253 Cedex 1,20179,Ajaccio,,(+33)4-95-51-55-55,,(+33)1-46-52-55-55,,http://www.2a.cci.fr,,,,,,False,False,,False,False
15-39420,DRSP Bordeaux,None,Jean-François Sana,,,"188, rue de PessacCS 21509",33062,BORDEAUX Cedex,,05-57-81-44-97,,05-57-81-46-47,jean-francois.sana@justice.fr,,,,,,,False,False,,False,False
15-39421,MINDEF/EMA/DC SCA/PFAF CO Rennes,None, Section 3,Bureau achats publics. Pôle achats. Section 3,,BP 22,35998,Rennes cedex 9,,(+33) 2-23-44-54-10,,(+33) 2-23-44-53-87,achat5.pfaf-co@terre-net.defense.gouv.fr,http://marches-publics.gouv.fr,,,,,,False,False,,False,False
15-39423,Conseil Général de l'Aude,None, Monsieur le Président du Conseil Général de l'Aude,,,Conseil Général de l'Aude Allée Raymond Courrière,11855,CARCASSONNE Cedex 9,,04-68-11-68-11,,04-68-11-68-93,,http://marchespublics.aude.fr,,,,,,False,False,,False,False
15-39424,ONEMA,18006801701720,Mme NDEBI Marie,,,5 Square felix nadar 5 SQUARE FELIX NADAR,94300,Vincennes,,(+33) 1-45-14-36-00,,,marches.publics@onema.fr,http://www.onema.fr/,,,,,,False,False,,False,False
15-39425,Ville de Reims,None," C3C Fournitures et Services, Ville de Reims",,,21 rue du temple 21 rue du temple CS 80036,51100,Reims,,03-26-77-74-49,,03-26-77-74-50,c3cfournituresetservices@reimsmetropole.fr,http://www.reims.fr,https://marches.reimsmetropole.fr,,,,,False,False,,False,False
15-39426,CANSSM,None, Service des marchés,,,77 avenue de Ségur,75714,Paris cedex 15,,(+33) 1-45-66-36-93,,(+33) 1-45-66-35-95,service.marches@secumines.org,,https://canssm.achatpublic.com/sdm/ent/gen/index.do,,,,,False,False,,False,False
15-39428,Centre Hospitalier de Saint-Quentin,None,"M. GAUTHIEZ, Directeur du C.H. Saint-Quentin",,,1 avenue Michel de l'Hospital,2321,Saint Quentin cedex,,,,,,,,,,,,False,False,,False,False
15-39429,CHU de Clermont-Ferrand,26630746100019,Mme ROY.. Valérie,,,Direction du Laboratoire 3ème étage du Centre de Biologie 58 rue Montalembert,63003,Clermont-ferrand cedex 1,,(+33) -04-73-75-12-08,,,vroy@chu-clermontferrand.fr,,https://www.achats-hopitaux.com/sdm/ach/gen/ach_home.do?PCSLID=CSL_2015_ime3abZwKs&v=1,https://www.achats-hopitaux.com/sdm/ach/gen/ach_home.do?PCSLID=CSL_2015_zupxSwuVgd&v=1,https://www.achats-hopitaux.com/sdm/ach/gen/ach_home.do?PCSLID=CSL_2015_zupxSwuVgd&v=1,,,False,False,,False,False
15-39430,SYTTOM 19,None,Monsieur le Président,,,U.V.E. de Saint Pantaléon de LarcheLe Chadelbos,19600,Saint Pantaléon de Larche,,05-55-22-61-30,,05-55-22-64-10,syttom19@syttom19.fr,http://www.syttom19.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
15-39432,Ville de Zegerscappel,None,DEBLOCK karine,,,12 rue de la mairie,59470,Zegerscappel,,03-28-68-93-09,,,mairie.zegerscappel@wanadoo.fr,,,,,,,False,False,,False,False
15-39433,Commune de Carcassonne,21110069800011,,,,32 rue Aimé Ramond,11835,Carcassonne cedex 9,,(+33) -04-68-77-71-11,,(+33) -04-68-77-74-26,marches@mairie-carcassonne.fr,http://www.carcassonne.org,http://www.achatpublic.com,,http://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2014_Mzftp_ee5S&v=1&selected=0,,,False,False,,False,False
15-39434,Cté de Communes des Hauts de Flandre,None,Monsieur le Président,,,"468, rue de la Couronne de Bierne",59380,Bergues,,03-28-68-70-68,,,marieclaire.tyberghein@cc-hautsdeflandre.fr,http://www.cc-hautsdeflandre.fr,http://www.cdg59,,,,,False,False,,False,False
15-39435,Agence des Espaces Verts,None,Mme LOYSEAU Isabelle,,,Cité régionale de l'environnement 90 92 avenue du Général Leclerc,93500,Pantin,,01-83-65-38-79,,,,http://www.aev-iledefrance.fr,,,,,,False,False,,False,False
15-39436,Centre Hospitalier Moulins-Yzeure,None, Cellule des marchés,,,10 avenue du général de gaulle,3006,Moulins,,04-70-35-79-25,,04-70-35-79-62,cellule-marches@ch-moulins-yzeure.fr,http://ch-moulins-yzeure.e-marchespublics.com,http://ch-moulins-yzeure.e-marchespublics.com,,,,,False,False,,False,False
15-39437,Société Aéroports de la Côte d'Azur,None,Département Achats,,,Rue Costes et BellonteB.P. 3331,6206,Nice cedex 3,,,,(+33)4-93-21-47-42,achats@cote-azur.aeroport.fr,http://www.achats.nice.aeroport.fr,,,,,,False,False,,False,False
15-39439,IPHV LES HAUTS THEBAUDIERES,None,"M. BURTEY Boris, Gestionnaire marchés publics",,,Route de Saint Fiacre BP 2229,44122,Vertou,,02-51-79-50-00,,02-40-33-41-01,cellule.marches@thebaudieres.org,,http://www.klekoon.com,,,,,False,False,,False,False
15-39440,Ecole Nationale sup. d'Arts et Métiers,None,Service marches,,,151 boulevard de l'hôpital,75013,Paris,,01-44-24-62-93,,,coralie.gozet@ensam.eu,http://www.ensam.eu/,http://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=235619&orgAcronyme=f2h,,,,,False,False,,False,False
15-39441,OPPIC,None,M. le Président de l'OPPIC,"Mme ROLNIN, chef du département des marchés et des affaires juridiques",,"30, rue du chateau des rentiers",75647,Paris Cedex 13,,(+33) 1-44-97-78-00,,(+33) 1-44-97-79-00,,http://www.oppic.fr,http://www.e-marches.oppic.fr,,,,,False,False,,False,False
15-39442,Grand Evreux Agglomération,None, Service Commande Publique,,,Service Commande Publique 9 rue Voltaire CS 40423,27004,Evreux Cedex,,(+33) 2-32-31-92-91,,(+33) 2-32-31-92-95,,,https://marchespublics.cg27.fr,,,,,False,False,,False,False
